dist_left_ear_shoulder,dist_right_ear_shoulder,dist_shoulder_nose,class
0.40735100886212705,0.38689004044022063,0.163316408129178,looks good
0.3763213744028559,0.361742400041114,0.15680863142333604,looks good
0.31016988418679753,0.3212266295650768,0.0777664340970821,looks good
0.3864539897455774,0.37143981198521525,0.1632498110414881,looks good
0.4020352189906966,0.3703416353207016,0.1613791251408331,looks good
0.37249420858353194,0.37224508505885456,0.1647834754801064,looks good
0.42119617335445436,0.3876046932981439,0.16830857106933736,looks good
0.3160976901738174,0.3374286871630279,0.08741662780995886,looks good
0.3869668922029318,0.35223843096924656,0.1427310712403613,looks good
0.36893710259089035,0.3689312059464111,0.15890717946035632,looks good
0.2862342915274342,0.3088295461084344,0.0787934982618655,looks good
0.3674477818651882,0.3673715564540371,0.15837608346356402,looks good
0.3982583928966436,0.35819113295582994,0.15232047799086548,looks good
0.30467728027525837,0.3217416707056226,0.09286265319452223,looks good
0.39084612312242595,0.3638737182242445,0.14841229389023197,looks good
0.3786276459291755,0.3669381324800193,0.1307718227265393,looks good
0.3546754918624435,0.36295051377025817,0.15483297882545866,looks good
0.33477704471875575,0.3719613574272479,0.13601828025575483,looks good
0.36573188861608286,0.3582528287335892,0.1502079161543282,looks good
0.5065819107899581,0.5041630164480096,0.23959628669336133,looks good
0.4026267790580859,0.3670468932188523,0.15114634516907222,looks good
0.36640693989309026,0.3702019677936609,0.16280366137943153,looks good
0.35967154311624366,0.394330575632165,0.1224900082524888,looks good
0.5422746906304048,0.5313844328978771,0.2669671711249462,looks good
0.36279678337934923,0.3690290607500405,0.1587743151061833,looks good
0.34811867375883954,0.37322187707668636,0.11567897121798751,looks good
0.5372823117125547,0.5224625767624381,0.26911509071190237,looks good
0.38390469975734626,0.35689071261898403,0.12933237695219418,looks good
0.35985378899899373,0.3681547442640027,0.1600728570683099,looks good
0.4162630616565493,0.3899457600765538,0.17348776048795894,looks good
0.5294650875435445,0.5023219544693674,0.2673705778457868,looks good
0.3715492166710478,0.3278487915874104,0.09911920336270227,looks good
0.363188292295039,0.3518970309250607,0.10221939061192535,looks good
0.554807544636459,0.5266878037548277,0.26913855768013684,looks good
0.3762055318556253,0.36359593123016,0.15749693624557343,looks good
0.4848303716968955,0.4096233680325434,0.2132433394987987,looks good
0.3740468750708522,0.35591143679237996,0.13907231431202186,looks good
0.3731633644001818,0.36802661858051544,0.1595384345726131,looks good
