iter	MultiClass
145	0.3384450351
146	0.3372035976
147	0.3360328972
148	0.3356560142
149	0.3340989366
150	0.3328858911
151	0.3322914991
152	0.3317046489
153	0.3314224137
154	0.330590982
155	0.3294109392
156	0.328321553
157	0.3276441496
158	0.3271371022
159	0.3254329587
160	0.3246046644
161	0.3229242428
162	0.3216342854
163	0.3206937339
164	0.320403733
165	0.3191117
166	0.3187823266
167	0.3182509324
168	0.3179974192
169	0.3173924966
170	0.3169111978
171	0.3162513671
172	0.3151566707
173	0.3143110467
174	0.3129892227
175	0.3125352746
176	0.3122345939
177	0.3109647489
178	0.3107251921
179	0.30978667
180	0.3088526479
181	0.3083835447
182	0.3079566962
183	0.3076100827
184	0.3064108131
185	0.3053380069
186	0.3048389894
187	0.3045581065
188	0.3039799178
189	0.3031807679
190	0.302340068
191	0.3012574318
192	0.3003023276
193	0.2998560304
194	0.299141498
195	0.2985257263
196	0.2982789896
197	0.2968745215
198	0.2965872266
199	0.2955769372
200	0.2947291804
201	0.2943673319
202	0.2936113942
203	0.2930643067
204	0.2925277924
205	0.2922338934
206	0.2917597043
207	0.2912301604
208	0.290377761
209	0.2899922345
210	0.2892916322
211	0.2885907437
212	0.2883526401
213	0.2878273682
214	0.2875378951
215	0.2873906826
216	0.287039153
217	0.2865587752
218	0.2852711417
219	0.2848273619
220	0.2837863371
221	0.2834251945
222	0.2831283716
223	0.2827028256
224	0.2824235812
225	0.2814232313
226	0.2809960556
227	0.2807335296
228	0.2804899686
229	0.2803488932
230	0.2796540843
231	0.2792779382
232	0.2790739674
233	0.2788129391
234	0.2784715072
235	0.2780107067
236	0.2778087731
237	0.27756366
238	0.2773381289
239	0.2767981541
240	0.2763238764
241	0.2760062223
242	0.275798864
243	0.2753933721
244	0.2751884505
245	0.2745542191
246	0.2740224311
247	0.273109892
248	0.2724249703
249	0.2720605781
250	0.271648553
251	0.2713203158
252	0.2708609396
253	0.2707170709
254	0.2705448221
255	0.2699278974
256	0.2696218691
257	0.269375966
258	0.2691786379
259	0.268576822
260	0.268323922
261	0.2673072997
262	0.2671418587
263	0.2662250427
264	0.2659653014
265	0.2657313201
266	0.265468501
267	0.2650773526
268	0.2649083735
269	0.2646005602
270	0.2642384946
271	0.264002158
272	0.2635862074
273	0.2633753808
274	0.2629591547
275	0.2624756637
276	0.2616520741
277	0.2614435055
278	0.2611522953
279	0.2606637926
280	0.2596088831
281	0.2593123283
282	0.2591606525
283	0.2589575492
284	0.2583111455
285	0.2580977261
286	0.2579506385
287	0.25764309
288	0.25744113
289	0.2567698531
290	0.2563153547
291	0.2559890503
292	0.2557049578
293	0.2553698346
294	0.2551842128
295	0.2547136491
296	0.2545968067
297	0.2544400373
298	0.2543240396
299	0.2539401863
300	0.2533664945
301	0.2526553636
302	0.2525217847
303	0.2520926772
304	0.2518639386
305	0.251639772
306	0.2513246822
307	0.2510844462
308	0.2508383198
309	0.2506898623
310	0.2501828739
311	0.2500039297
312	0.2496389724
313	0.2491636074
314	0.2487200271
315	0.2485734771
316	0.2483550813
317	0.2480890867
318	0.2479423448
319	0.2475474557
320	0.2469953137
321	0.2468443158
322	0.2466911269
323	0.2463962372
324	0.2461947511
325	0.246029163
326	0.2456218622
327	0.2452747194
328	0.2450805741
329	0.244951115
330	0.2441929307
331	0.244076275
332	0.2434919183
333	0.2431309843
334	0.2428253511
335	0.2424957446
336	0.2422510323
337	0.2418316573
338	0.2416487536
339	0.2413642716
340	0.2412273072
341	0.2408327287
342	0.2405954598
343	0.2403862898
344	0.2400521702
345	0.2398486086
346	0.23969345
347	0.2391451375
348	0.2388031514
349	0.2386603584
350	0.238370389
351	0.2381849471
352	0.2377091644
353	0.2374513668
354	0.2372221585
355	0.2370777241
356	0.2368637937
357	0.2367083207
358	0.2364931131
359	0.236373734
360	0.2362227818
361	0.23607373
362	0.235726363
363	0.2355166401
364	0.2354112313
365	0.2352023836
366	0.2350150899
367	0.2348698749
368	0.2347422638
369	0.2345275219
370	0.2342760053
371	0.2339667254
372	0.2336093669
373	0.2330734873
374	0.2327178397
375	0.2324383456
376	0.2321820882
377	0.2315844414
378	0.2314186156
379	0.2311822156
380	0.2309067712
381	0.2307153012
382	0.2304756459
383	0.2302770406
384	0.2299763753
385	0.2298328959
386	0.2296596723
387	0.2295403445
388	0.2293558794
389	0.2289869491
390	0.2288640163
391	0.2286237875
392	0.2285027429
393	0.2283988665
394	0.2282731532
395	0.2276430919
396	0.2274966343
397	0.2272925923
398	0.2271152326
399	0.2267795172
400	0.2266772717
401	0.2263278776
402	0.2261672317
403	0.225796735
404	0.2255406483
405	0.2251287572
406	0.2248647959
407	0.2246521214
408	0.2241342641
409	0.2238504243
410	0.2235298123
411	0.2234397761
412	0.2233469914
413	0.2231003397
414	0.223020558
415	0.2229499496
416	0.222778445
417	0.2226896085
418	0.222499971
419	0.2222612992
420	0.2221200557
421	0.2218908546
422	0.221769206
423	0.2216228573
424	0.2214005378
425	0.2212608861
426	0.2209602665
427	0.220818552
428	0.2205478957
429	0.2203417597
430	0.2202635834
431	0.2200589502
432	0.2197917523
433	0.2196735778
434	0.2196135053
435	0.2194132131
436	0.2192327016
437	0.2190148009
438	0.2188228278
439	0.2186916457
440	0.2183942213
441	0.2181630274
442	0.2179038949
443	0.2177036088
444	0.2172764867
445	0.21718748
446	0.2169610205
447	0.216789376
448	0.2167028959
449	0.2163638677
450	0.216258753
451	0.215977884
452	0.215786893
453	0.2156739043
454	0.2156003407
455	0.2153772342
456	0.2153148354
457	0.2152279085
458	0.2150927954
459	0.2148091613
460	0.2145144223
461	0.2143223882
462	0.214129041
463	0.2138654197
464	0.2135900011
465	0.2132329884
466	0.2129979071
467	0.2128851032
468	0.2128286401
469	0.2127584044
470	0.2125867039
471	0.2125207114
472	0.2123074677
473	0.2121560306
474	0.2116139576
475	0.2115273981
476	0.2113793232
477	0.2110137497
478	0.2108025764
479	0.2105284562
480	0.2103934928
481	0.2102564284
482	0.2100979074
483	0.2098834223
484	0.2097541697
485	0.2093647842
486	0.2092292198
487	0.2089692187
488	0.2085589672
489	0.2083966041
490	0.2081679544
491	0.208056038
492	0.207984232
493	0.2077947819
494	0.2076361698
495	0.2073807563
496	0.2072132035
497	0.2068497433
498	0.2067590747
499	0.2066911982
500	0.2065574439
501	0.2064585529
502	0.2063410541
503	0.2062183325
504	0.2060714496
505	0.205952783
506	0.2058670209
507	0.2057651328
508	0.2055461163
509	0.2054551213
510	0.2053986875
511	0.2052653008
512	0.204935906
513	0.2048434255
514	0.2046529535
515	0.2043986215
516	0.2042102397
517	0.2039328312
518	0.2037271699
519	0.2036138861
520	0.2034966999
521	0.2033494883
522	0.2032520901
523	0.2030032106
524	0.2029281694
525	0.2028137947
526	0.2026681111
527	0.2026387664
528	0.2025003692
529	0.2024320798
530	0.2022464536
531	0.2021453567
532	0.201736324
533	0.2016181394
534	0.201541185
535	0.2014942337
536	0.201235381
537	0.2011291923
538	0.2008614043
539	0.2006343783
540	0.2004304389
541	0.2000683095
542	0.1999032938
543	0.1997808905
544	0.1995958163
545	0.1995088134
546	0.199335922
547	0.1992370182
548	0.199122372
549	0.1989016058
550	0.1987673549
551	0.1984712886
552	0.1983148431
553	0.1982470603
554	0.1981115937
555	0.1980189395
556	0.1979528114
557	0.1978698205
558	0.1977890476
559	0.1977041803
560	0.1976019713
561	0.1974954195
562	0.1973355
563	0.1970188212
564	0.1968532306
565	0.1967594799
566	0.1966443846
567	0.1964556708
568	0.1962345472
569	0.1961753173
570	0.1958038431
571	0.1955573372
572	0.195279997
573	0.1951339115
574	0.1950579112
575	0.1949657277
576	0.1948457554
577	0.1946618668
578	0.1945667932
579	0.1943875642
580	0.1941091787
581	0.1939909436
582	0.1938062978
583	0.1935893721
584	0.1934696444
585	0.1933280872
586	0.1931052832
587	0.1929396031
588	0.1928688053
589	0.1927552345
590	0.192589187
591	0.1924014093
592	0.1923627326
593	0.1923149952
594	0.192169947
595	0.1921059916
596	0.1919242698
597	0.1918456349
598	0.1917306022
599	0.191598155
600	0.1914859936
601	0.1913441942
602	0.1912457481
603	0.1910958418
604	0.1908965891
605	0.1907361918
606	0.1904704771
607	0.1902904451
608	0.1901774121
609	0.1900886073
610	0.1900221231
611	0.1899210103
612	0.1897995123
613	0.1897158848
614	0.1894452698
615	0.1893117239
616	0.1891062091
617	0.1889631866
618	0.1888572891
619	0.1885260929
620	0.1884479318
621	0.1883832731
622	0.1882308097
623	0.1881520074
624	0.1880265579
625	0.187943658
626	0.1878684714
627	0.1877314337
628	0.1876280573
629	0.1874757032
630	0.1874179521
631	0.1872300843
632	0.1870520916
633	0.1868418072
634	0.1866931485
635	0.1866285646
636	0.1865683003
637	0.1863299178
638	0.1861936935
639	0.18612264
640	0.1860476533
641	0.1859918601
642	0.1858954057
643	0.1858307469
644	0.1857255851
645	0.1856323569
646	0.1855374245
647	0.1852924487
648	0.1851810122
649	0.1850981485
650	0.1847295331
651	0.1846159265
652	0.1845236983
653	0.1844195828
654	0.1843994569
655	0.1843577589
656	0.1842596045
657	0.1841792186
658	0.1840637203
659	0.1839271067
660	0.183819804
661	0.1837181938
662	0.183611707
663	0.1835420822
664	0.1833230991
665	0.1832242379
666	0.1830642118
667	0.1829957951
668	0.1828938298
669	0.1828393435
670	0.1826313406
671	0.1825403663
672	0.1825069296
673	0.1823389497
674	0.1822163751
675	0.1821541996
676	0.1820906628
677	0.1818964591
678	0.1817461864
679	0.1815321378
680	0.1814522288
681	0.181289512
682	0.1812325179
683	0.1811487691
684	0.1810079559
685	0.1808882862
686	0.180766166
687	0.1807228947
688	0.1806659762
689	0.1805619552
690	0.1805081221
691	0.1803419509
692	0.180271063
693	0.1802281774
694	0.1801456463
695	0.18001993
696	0.17994659
697	0.1797811538
698	0.1796797494
699	0.1794131617
700	0.1792478036
701	0.1791356005
702	0.1790552928
703	0.1789021268
704	0.1787959416
705	0.1787468811
706	0.1785315813
707	0.178387532
708	0.1783218658
709	0.1782590496
710	0.1781545879
711	0.1781063176
712	0.1778385174
713	0.1776786812
714	0.177571979
715	0.1774189709
716	0.1773039474
717	0.1772289246
718	0.1771109298
719	0.176972269
720	0.1769284566
721	0.1768383803
722	0.176698768
723	0.1765366245
724	0.1764815778
725	0.1761872475
726	0.1760871336
727	0.176024844
728	0.1758735811
729	0.1758074195
730	0.1756682843
731	0.1755396644
732	0.175485057
733	0.1753900637
734	0.1752655025
735	0.175107587
736	0.1749687213
737	0.1749002256
738	0.1748457078
739	0.1747575282
740	0.1746280461
741	0.1745467976
742	0.1743586515
743	0.1742349866
744	0.1741989019
745	0.1741418688
746	0.1740502487
747	0.173844878
748	0.1735589145
749	0.1734565199
750	0.1733412006
751	0.1732775673
752	0.1732275458
753	0.1731427516
754	0.1730243932
755	0.172926461
756	0.1728779219
757	0.1727100492
758	0.1725882185
759	0.1725287487
760	0.1724772843
761	0.1724110617
762	0.172243718
763	0.1721465759
764	0.1718929696
765	0.1717601694
766	0.1716360851
767	0.1715677304
768	0.1714920496
769	0.1713781242
770	0.1713136479
771	0.1712579094
772	0.1712090973
773	0.171055176
774	0.1709421945
775	0.1708108366
776	0.1707120261
777	0.1706118321
778	0.1705115531
779	0.1704325151
780	0.1703622788
781	0.1702995318
782	0.1701992669
783	0.1700552123
784	0.1699818921
785	0.1697506415
786	0.1696620601
787	0.1695877154
788	0.1695211541
789	0.1694134634
790	0.1692936009
791	0.169078762
792	0.1690339152
793	0.1689866905
794	0.1687512872
795	0.1686808022
796	0.1685388395
797	0.1684266634
798	0.1682250588
799	0.1681211683
800	0.1680936609
801	0.1680368329
802	0.1679659299
803	0.167855771
804	0.1678120115
805	0.1677175985
806	0.1676560111
807	0.1675873785
808	0.1675151258
809	0.1674064601
810	0.1672398779
811	0.1671215252
812	0.1670724091
813	0.1669678356
814	0.1668752035
815	0.1667321222
816	0.1665017522
817	0.1664141071
818	0.1663278183
819	0.1661463916
820	0.1660732455
821	0.1659577609
822	0.1658477568
823	0.1657379596
824	0.1656872775
825	0.1656202201
826	0.1655585873
827	0.1654608669
828	0.1654125677
829	0.1653432562
830	0.1651917845
831	0.1651320824
832	0.1650263266
833	0.1648553487
834	0.1647080499
835	0.1645323949
836	0.1644161273
837	0.1643425702
838	0.164283859
839	0.1642332167
840	0.1640963091
841	0.1639711089
842	0.163832584
843	0.1637600369
844	0.1636943955
845	0.1636084201
846	0.1634949305
847	0.1634015118
848	0.1631858375
849	0.1630904638
850	0.1630368422
851	0.1629123686
852	0.1628192959
853	0.1626594563
854	0.1626027462
855	0.1624966297
856	0.1624304189
857	0.1623474891
858	0.1622927988
859	0.1622018139
860	0.1620680931
861	0.1619976958
862	0.161873081
863	0.1617885438
864	0.1616781325
865	0.161494429
866	0.1614462226
867	0.1613951595
868	0.1613355995
869	0.1611931356
870	0.1611280186
871	0.1610026658
872	0.160938498
873	0.1609009097
874	0.1608686305
875	0.1607923092
876	0.1606908539
877	0.1605992402
878	0.1605076883
879	0.1603098909
880	0.160169515
881	0.160092034
882	0.1599579668
883	0.1598250428
884	0.1597435695
885	0.1596561941
886	0.1596176653
887	0.1595214166
888	0.1594681807
889	0.1593871915
890	0.15927187
891	0.159100118
892	0.1589762142
893	0.1588798882
894	0.1588435642
895	0.1586875287
896	0.158595898
897	0.1584834674
898	0.1583791723
899	0.1583105089
900	0.158226344
901	0.1581618392
902	0.1579410912
903	0.1578901362
904	0.1578022395
905	0.1577350256
906	0.1576882478
907	0.1575756894
908	0.157459483
909	0.1572893972
910	0.1572251541
911	0.1571579018
912	0.1570673297
913	0.1568674523
914	0.1568425473
915	0.1567630572
916	0.1566881651
917	0.156606397
918	0.1565070206
919	0.1564570159
920	0.1563817524
921	0.1562591687
922	0.1561444696
923	0.1559731657
924	0.155902302
925	0.1558298056
926	0.1557984143
927	0.1557051652
928	0.1556125117
929	0.1555575433
930	0.1555320855
931	0.1554524996
932	0.1552928946
933	0.1551159786
934	0.1550567849
935	0.1548710247
936	0.154745116
937	0.1546506858
938	0.1545089402
939	0.1543717247
940	0.1543306397
941	0.1542296175
942	0.1540476378
943	0.1538051511
944	0.1537770085
945	0.1537204028
946	0.1536073142
947	0.153557539
948	0.1534845483
949	0.1532753776
950	0.1532480828
951	0.1531884332
952	0.1531288284
953	0.1530678782
954	0.1529690872
955	0.1529282172
956	0.1528646447
957	0.1527867446
958	0.1527251147
959	0.1525301665
960	0.1523634687
961	0.1522451143
962	0.1519942466
963	0.1519202194
964	0.1518152318
965	0.1515981451
966	0.1515320345
967	0.1514129922
968	0.1512739965
969	0.1512366735
970	0.1511658545
971	0.1511034356
972	0.1510308154
973	0.1510082514
974	0.1509201453
975	0.1507905289
976	0.1506819902
977	0.1506250136
978	0.1504947106
979	0.150414513
980	0.1503255426
981	0.1502949885
982	0.1501802119
983	0.1501447303
984	0.1500395239
985	0.1500064295
986	0.1498890905
987	0.1497905858
988	0.1495943131
989	0.1495233131
990	0.1494961926
991	0.1494020129
992	0.1493614378
993	0.14926493
994	0.1492034395
995	0.1490842752
996	0.148988871
997	0.1489267223
998	0.148843632
999	0.1487095606
